Name	Length	EffectiveLength	TPM	NumReads
FBtr0075502	509	338.416	0.000000	0.000
FBtr0300738	2350	2178.996	0.260824	4.755
FBtr0300739	2172	2000.996	0.409300	6.852
FBtr0300737	2184	2012.996	0.358810	6.042
FBtr0300736	2338	2166.996	0.287507	5.212
FBtr0078628	2467	2295.996	0.234834	4.511
FBtr0300740	2479	2307.996	0.216247	4.175
FBtr0078627	2301	2129.996	0.307614	5.481
FBtr0300741	2313	2141.996	0.277480	4.972
FBtr0072762	889	718.218	68.415531	411.067
FBtr0346821	1270	1098.996	3.791775	34.861
FBtr0331460	900	729.216	0.293011	1.787
FBtr0303848	5005	4833.996	5.047907	204.136
FBtr0086122	1465	1293.996	0.831395	9.000
FBtr0335147	3125	2953.996	2.337070	57.754
FBtr0081459	3019	2847.996	19.325593	460.441
FBtr0305321	6523	6351.996	0.474574	25.218
FBtr0083716	5665	5493.996	14.964429	687.782
FBtr0078184	1305	1133.996	0.316233	3.000
FBtr0081691	765	594.297	0.000000	0.000
FBtr0085263	1228	1056.996	0.339270	3.000
FBtr0086342	492	321.427	0.000000	0.000
FBtr0086343	495	324.425	0.000000	0.000
FBtr0091847	1023	851.996	1.342580	9.569
FBtr0072393	1393	1221.996	76.707726	784.171
FBtr0343502	867	696.225	0.443102	2.581
FBtr0343753	3569	3397.996	3.734198	106.151
FBtr0433525	3725	3553.996	0.254384	7.563
FBtr0113895	961	790.195	22.882121	151.263
FBtr0345179	887	716.218	49.191193	294.737
FBtr0334135	4703	4531.996	0.322374	12.222
FBtr0334137	4561	4389.996	0.751716	27.607
FBtr0334141	5321	5149.996	0.211155	9.097
FBtr0334139	4203	4031.996	0.571389	19.273
FBtr0334140	5704	5532.996	0.174395	8.072
FBtr0344148	4894	4722.996	0.276962	10.943
FBtr0334142	5071	4899.996	0.245167	10.050
FBtr0334138	5563	5391.996	0.186301	8.404
FBtr0334136	3862	3690.996	1.241392	38.331
FBtr0085105	995	824.145	4.206220	29.000
FBtr0346720	2745	2573.996	0.000000	0.000
FBtr0076089	442	271.450	0.000000	0.000
FBtr0087500	1417	1245.996	8.730171	91.000
FBtr0073094	1694	1522.996	5.935831	75.628
FBtr0073093	1577	1405.996	75.443122	887.372
FBtr0343515	1092	920.996	0.240845	1.856
FBtr0072451	975	804.168	8.642878	58.144
FBtr0071607	2252	2080.996	2.929523	51.000
FBtr0081516	4704	4532.996	0.105481	4.000
FBtr0300749	931	760.215	2.529422	16.086
FBtr0346532	1185	1013.996	0.146845	1.246
FBtr0073076	880	709.218	59.946342	355.668
FBtr0089289	4677	4505.996	1.161289	43.776
FBtr0100448	4590	4418.996	1.815763	67.125
FBtr0089290	4681	4509.996	1.155790	43.607
FBtr0089288	4037	3865.996	7.596091	245.671
FBtr0100447	4417	4245.996	1.456355	51.731
FBtr0329933	4663	4491.996	1.212663	45.570
FBtr0336949	2826	2654.996	18.257397	405.513
FBtr0088786	1378	1206.996	68.621879	692.900
FBtr0088785	1869	1697.996	14.739766	209.377
FBtr0303077	607	436.380	0.000000	0.000
FBtr0339716	615	444.375	0.064133	0.238
FBtr0085459	600	429.380	69.809835	250.762
FBtr0070973	1218	1046.996	0.228341	2.000
FBtr0089252	2767	2595.996	1.083935	23.540
FBtr0334488	2840	2668.996	1.379680	30.806
FBtr0334489	2902	2730.996	1.014590	23.180
FBtr0100600	3804	3632.996	3.766527	114.474
FBtr0300305	309	138.549	0.000000	0.000
FBtr0077162	567	396.386	0.000000	0.000
FBtr0072277	713	542.323	48.491176	220.000
FBtr0344898	1082	910.996	0.000000	0.000
FBtr0086817	1175	1003.996	0.000000	0.000
FBtr0333271	5146	4974.996	0.368916	15.354
FBtr0072639	5149	4977.996	0.372187	15.500
FBtr0340000	824	653.263	0.622093	3.400
FBtr0087390	427	256.461	282.735195	606.600
FBtr0070472	3021	2849.996	2.201311	52.484
FBtr0331752	4499	4327.996	16.188903	586.147
FBtr0070475	3174	3002.996	6.085785	152.888
FBtr0070474	3218	3046.996	1.173299	29.908
FBtr0302185	2166	1994.996	0.398225	6.646
FBtr0070471	4805	4633.996	8.356581	323.956
FBtr0112828	2903	2731.996	5.692702	130.107
FBtr0301966	3182	3010.996	0.695573	17.521
FBtr0070468	3055	2883.996	9.326182	225.009
FBtr0070476	2745	2573.996	0.566544	12.200
FBtr0070470	3110	2938.996	1.282016	31.521
FBtr0331751	4750	4578.996	0.898510	34.419
FBtr0070469	4244	4072.996	9.149834	311.766
