Name	Length	EffectiveLength	TPM	NumReads
FBgn0053929	423	249.845	0	0
FBgn0267873	257	83.968	0	0
FBgn0267896	719	545.677	0.002016	0.008
FBgn0260225	1197	1023.41	0	0
FBgn0040928	1085	911.41	2.99649	21
FBgn0262789	532	358.769	0.362487	1
FBgn0058461	391	217.881	0.820997	1.375
FBgn0042701	620	446.735	0.756799	2.6
FBgn0263493	352	178.908	0.00052	0.001
FBgn0265917	359	185.905	0	0
FBgn0262163	610	436.743	0	0
FBgn0085831	237	63.992	0	0
FBgn0267108	321	147.922	12.8413	14.606
FBgn0051032	770	596.655	12.4239	57
FBgn0266102	391	217.881	2.97626	4.986
FBgn0053867	526	352.774	0.020103	0.055
FBgn0267026	323	149.922	0	0
FBgn0267519	2689	2515.41	2391.07	46248.1
FBgn0058005	1227	1053.41	0.196589	1.592
FBgn0039979	803	629.643	8.20255	39.713
FBgn0053318	523	349.776	1.17463	3.159
FBgn0053805	440	266.827	0.851359	1.747
FBgn0267419	780	606.65	0	0
FBgn0267892	760	586.66	0	0
FBgn0267902	582	408.754	0.000275	0.001
FBgn0262964	777	603.652	0.861749	4
FBgn0085790	1041	867.41	0.20258	1.351
FBgn0267879	601	427.746	0.000576	0.002
FBgn0085291	1130	956.41	0.251637	1.851
FBgn0263093	1186.67	1013.08	34.4537	268.395
FBgn0267952	1290	1116.41	0	0
FBgn0030117	636	462.709	0.035281	0.126
FBgn0058182	291	117.941	0	0
FBgn0052518	75	25.743	5.05188	1
FBgn0027934	1345	1171.41	0	0
FBgn0085340	423	249.845	0	0
FBgn0263744	845	671.616	0.193636	1
FBgn0263210	221	48.15	5.26085	1.948
FBtr0346869	123	48.723	18.9513	7.1
FBgn0267427	697	523.689	0	0
FBgn0263975	1131	957.41	2.71669	20
FBgn0267869	420	246.848	0.00065	0.001
FBgn0037560	966.299	792.868	46.7467	285
FBgn0263212	220	47.188	0	0
FBgn0085732	1475.6	1302.01	68.9314	690.122
FBgn0267593	610	436.743	0	0
FBgn0058100	394	220.877	7.61558	12.934
FBgn0264888	465	291.815	0	0
FBgn0037143	1446	1272.41	0	0
FBgn0262510	501	327.786	2.12491	5.356
FBgn0263771	276	102.951	0	0
FBgn0053315	421	247.847	0.524715	1
FBgn0050029	480	306.811	0	0
FBgn0085791	1041	867.41	0.16552	1.104
FBgn0085804	252	78.973	0	0
FBgn0267876	766	592.656	0	0
FBgn0267494	656	482.696	0	0
FBgn0085792	1211	1037.41	3.20999	25.606
FBgn0053013	2636	2462.41	0	0
FBgn0266211	1668	1494.41	1.91452	22
FBgn0265141	1303	1129.41	0	0
FBgn0051292	435.525	262.362	0.018916	0.038
FBgn0053294	1991.38	1817.79	1.43085	20
FBgn0000280	166	13.084	19.8791	2
FBgn0262885	102	40.096	0	0
FBgn0011812	456	282.818	0.459833	1
FBgn0265533	384.5	211.379	0	0
FBgn0052496	778	604.651	1.62369	7.549
FBgn0052009	2997.49	2823.9	0.581697	12.631
FBtr0347033	1076	902.41	0	0
FBgn0262688	493	319.793	0.406666	1
FBgn0053222	544.032	370.798	0.097018	0.276
FBgn0266940	581	407.754	0	0
FBgn0262565	802	628.644	1.02805	4.969
FBgn0263002	361	187.904	0	0
FBgn0084049	531	357.769	19.6794	54.139
FBgn0263211	352	178.908	0.001278	0.002
FBgn0267872	775	601.653	0.001013	0.005
FBgn0262031	330	156.919	39.8209	48.049
FBgn0267014	274	100.953	14.4483	11.216
FBgn0039987	184	20.393	0	0
FBgn0261640	810	636.637	0.40236	1.97
FBgn0052761	71	23.855	0	0
FBgn0267863	274	100.953	0	0
FBgn0052034	74	25.21	0	0
FBgn0262795	735	561.672	0	0
FBgn0261856	450	276.822	0.939587	2
FBgn0051485	73	24.715	0	0
FBgn0267610	864	690.605	0	0
FBgn0262851	1188	1014.41	14.5555	113.536
FBgn0053416	143	43.688	26.7912	9
FBgn0267520	357	183.906	8.97437	12.691
FBgn0085765	30	9.902	13.133	1
FBgn0267424	659	485.696	0	0
FBgn0030116	1305	1131.41	0	0
FBgn0031135	363	189.903	0	0
FBgn0263213	224	51.073	4.63326	1.82
FBgn0267878	266	92.96	0	0
FBgn0058441	177	16.887	0	0
FBgn0267864	485	311.799	0.000201	0
FBgn0085500	687	513.69	0	0
FBgn0085784	479	305.804	0.003523	0.008
FBgn0262848	1188	1014.41	2.87215	22.403
FBgn0063924	307	133.929	2.43406	2.507
FBgn0262616	554	380.763	0	0
FBgn0267891	718	544.677	0.001327	0.006
FBgn0053491	369	195.899	0.003527	0.005
FBgn0050374	600	426.746	0.304745	1
FBtr0347034	740	566.669	0	0
FBgn0267898	414	240.854	0.000612	0.001
FBgn0260469	925.543	752.135	1.40807	8.144
FBgn0267874	253	79.972	0	0
FBgn0030243	4755.39	4581.8	39.7971	1402.1
FBgn0032269	1867	1693.41	0	0
FBgn0266369	2930	2756.41	21.2784	451
FBgn0032596	776.102	602.756	193.534	897
FBgn0033770	665.983	492.683	0.263961	1
FBgn0259237	2786	2612.41	0	0
FBgn0013685	525	351.775	0.739387	2
FBgn0031021	768	594.655	63.9399	292.368
FBgn0033491	3329	3155.41	6.99782	169.79
FBgn0051141	961	787.574	0.165126	1
FBgn0284082	778	604.651	0	0
FBgn0036396	1352	1178.41	6.95266	63
FBgn0036641	883.663	710.259	36.8033	201
FBgn0027594	4478.54	4304.95	135.156	4474
FBgn0261954	7845.07	7671.48	53.553	3159.04
FBgn0029987	639	465.707	1.67551	6
FBgn0031660	1139.32	965.729	144.091	1070
FBgn0038619	937.259	763.849	17.1957	101
FBgn0001341	3680	3506.41	9.7173	262
FBgn0037541	7052.37	6878.78	32.3948	1713.48
FBgn0016701	1175.62	1002.1	62.8121	484
FBgn0039110	1769.66	1596.07	68.1996	837
FBgn0038839	2837.12	2663.53	0.048826	1
FBgn0264307	3533.46	3359.87	8.31948	214.938
FBgn0263355	3529.93	3356.34	46.6715	1204.51
FBgn0032482	2178.93	2005.34	148.898	2295.99
FBgn0050082	843	669.617	0.582642	3
FBgn0033698	5896	5722.41	20.1582	887
FBgn0032240	530	356.77	147.463	404.542
FBgn0029925	1070	896.41	25.3886	175
FBgn0039017	1757	1583.41	8.08031	98.382
FBgn0259711	908	734.592	14.1629	80
FBgn0051140	5760.93	5587.34	7.54131	323.999
FBgn0036813	1221	1047.41	40.7253	328
FBgn0004379	2913.41	2739.82	26.3912	555.999
FBgn0036158	782	608.65	0	0
FBgn0031816	2035.15	1861.56	12.2954	176
FBgn0034923	1675.98	1502.39	26.1833	302.482
FBgn0039582	1151	977.41	0	0
FBgn0051635	6287.97	6114.38	10.4858	492.999
FBgn0263117	5200.06	5026.47	0.058971	2.279
FBgn0030259	717	543.678	0	0
FBgn0029858	1852.24	1678.65	14.1056	182.073
FBgn0260745	2909.83	2736.24	178.564	3757
FBgn0015791	1156.07	982.487	115.557	873
FBgn0051453	1554.4	1380.81	62.349	662
FBgn0025574	2102.58	1928.99	23.7987	353
FBgn0039637	3175.49	3001.9	79.0199	1824
FBgn0023095	4739.94	4566.35	1.90815	67
FBgn0014022	1444	1270.41	19.0404	186
FBgn0035134	1243	1069.41	0.608041	5
FBgn0044826	3556.97	3383.38	72.3779	1883
FBgn0030937	1405	1231.41	0	0
FBgn0085213	715	541.68	0.240085	1
FBgn0039875	2455.51	2281.92	68.821	1207.57
FBgn0037736	3928.94	3755.35	0.242413	7
FBgn0024732	2153	1979.41	20.8929	318
FBgn0053700	1116	942.41	0	0
FBgn0260747	999.176	825.717	239.397	1520
FBgn0038011	1767	1593.41	0	0
FBgn0066365	2784.15	2610.56	0.000164	0.003
FBgn0039863	5861.19	5687.6	37.6821	1648
FBgn0037721	832.031	658.654	1.77702	9
FBgn0036459	2408	2234.41	0	0
FBgn0038291	1731	1557.41	14.5296	174
FBgn0001114	3261.09	3087.5	1020.3	24223
FBgn0262894	324	150.921	0	0
FBgn0015772	4865.01	4691.42	14.1929	512
FBgn0030873	1721.56	1547.97	92.9142	1105.95
FBgn0086675	6911.1	6737.51	0.23125	11.981
FBgn0038223	4302.63	4129.04	11.0913	352.149
FBgn0027081	2320.48	2146.89	217.587	3592
FBgn0043458	3245.11	3071.52	62.7802	1482.75
FBgn0262010	471	297.812	0	0
FBgn0259963	337	163.915	0	0
FBgn0010238	2156	1982.41	107.324	1636
FBgn0034184	2949.76	2776.17	33.5408	716
FBgn0000018	1794	1620.41	22.8732	285
FBgn0032809	910	736.592	1.05933	6
FBgn0036605	513	339.783	0	0
FBgn0052280	1136.32	962.725	36.3289	268.935
FBgn0000055	1118.32	944.727	0.177918	1.293
FBgn0033657	3918	3744.41	0.069463	2
FBgn0035421	1684	1510.41	22.2143	258
FBgn0030666	1628.58	1454.99	1.16412	13.024
FBgn0011202	4199.05	4025.46	38.0249	1177
FBgn0050091	1681	1507.41	0	0
FBgn0033260	3372.73	3199.14	35.895	883
FBgn0283427	8584.37	8410.78	949.579	61413
FBgn0033740	2222.1	2048.51	19.6167	309
FBgn0011725	2797.84	2624.25	28.0549	566.118
FBgn0034377	761	587.658	0.2213	1
FBgn0284248	680.991	507.682	791.542	3090
FBgn0040674	712.5	539.188	0	0
FBgn0036323	1637	1463.41	0	0
FBgn0038260	1973	1799.41	2.02365	28
FBgn0034617	1987	1813.41	13.9127	194
FBgn0262018	7550.68	7377.09	0.017629	1
FBgn0031873	840	666.62	25.3613	130
FBgn0032366	866	692.605	0	0
FBgn0035241	4682.89	4509.3	0.725426	25.153
FBgn0260049	2269.38	2095.79	169.465	2731
FBgn0015558	4413.67	4240.08	0.680541	22.189
FBgn0267875	162	12.759	0	0
FBgn0003870	4188.11	4014.52	32.6196	1006.95
FBgn0053061	1277.9	1104.31	0.117765	1
FBgn0041181	4928	4754.41	0	0
FBgn0039778	933	759.591	0.171209	1
FBgn0014455	1597.47	1423.88	253.341	2773.78
FBgn0030462	936.667	763.248	0	0
FBgn0051832	762	588.657	0.662774	3
FBgn0000259	1591.9	1418.38	119.534	1303.7
FBgn0261581	585.884	412.633	0.315168	1
FBgn0039271	836	662.625	10.7945	55
FBgn0031463	1194	1020.41	0	0
FBgn0014006	4626.81	4453.22	31.8901	1092
FBgn0037150	1456	1282.41	11.5607	114
FBgn0030294	1628	1454.41	14.4856	162
FBgn0036039	1941.35	1767.76	15.4491	210
FBgn0029676	2020.4	1846.81	68.1553	967.866
FBgn0037475	1444.5	1270.91	0	0
FBgn0052076	1529	1355.41	29.9358	312
FBgn0058354	1400	1226.41	4.41526	41.638
FBgn0033738	3638.19	3464.6	42.6203	1135.43
FBgn0064126	1577.8	1404.21	44.6422	482.026
FBgn0039115	970	796.565	21.0214	128.758
FBgn0010356	2362	2188.41	19.3135	325
FBgn0051100	2432.78	2259.19	0.172694	3
FBgn0263249	318	144.923	0	0
FBgn0039635	1178.28	1004.77	186.123	1438
FBgn0050010	744.971	571.637	3.64004	16
FBgn0034495	1429	1255.41	17.814	171.965
FBgn0005617	3827.44	3653.85	29.5772	831
FBgn0030703	1436.91	1263.32	111.899	1087
FBgn0036574	4008.76	3835.17	17.3193	510.751
FBgn0038742	1418	1244.41	72.4231	693
FBgn0003162	1649.2	1475.61	6.52179	74
FBgn0046999	672	498.695	0	0
FBgn0037345	831	657.628	17.0069	86
FBgn0037050	1501.44	1327.85	9.02405	92.139
FBgn0029783	1123.25	949.657	9.03825	66
FBgn0261269	3730.5	3556.91	5.44779	149
FBgn0264270	2229.27	2055.68	48.2082	762.023
FBgn0259822	4758.24	4584.65	0.028368	1.001
FBgn0034035	1562	1388.41	29.318	313
FBgn0039270	868	694.605	12.357	66
FBgn0031626	1990	1816.41	0	0
FBgn0051324	1979.24	1805.65	57.6633	800.62
FBgn0260858	1469	1295.41	44.5741	444
FBgn0031874	1801.99	1628.4	6.23353	78.053
FBgn0262719	7923.37	7749.78	0.33562	20
FBgn0082831	6728.76	6555.17	32.318	1629
FBgn0259239	3743.62	3570.03	0.218568	6
FBgn0036146	755	581.664	4.02446	18
FBgn0035073	3322	3148.41	17.2507	417.629
FBgn0020371	789	615.648	0	0
FBgn0032845	1541.8	1368.21	6.95871	73.211
FBgn0283651	4285.88	4112.29	1.13922	36.024
FBgn0267824	2632	2458.41	36.0776	682
FBgn0069973	898.546	725.141	16.8583	94
FBgn0036301	1709	1535.41	15.2023	179.485
FBgn0265048	4744	4570.41	173.687	6104
FBgn0261057	237.5	64.5605	0	0
FBgn0052564	1448	1274.41	0	0
FBgn0030797	1081.97	908.54	12.801	89.43
FBgn0001296	2223.99	2050.4	3.17131	50
FBgn0259972	706	532.667	0	0
FBgn0053986	871	697.604	0	0
FBgn0032435	2743	2569.41	0.101229	2
FBgn0033905	1147.54	973.95	20.5632	154
FBgn0029539	639.5	466.206	0	0
FBgn0030502	2962.08	2788.49	77.4653	1661
FBgn0032554	1230	1056.5	0	0
FBgn0036410	2269.87	2096.28	0.744457	12
FBgn0025390	6268.54	6094.95	4.20292	196.977
FBgn0038394	1047	873.41	0.74449	5
FBgn0029715	1081.95	908.361	69.1506	483
FBgn0034911	6361	6187.41	0.25222	12
FBgn0026063	2066	1892.41	0.537064	7.815
FBgn0032375	787.601	614.248	0.211721	1
FBgn0033665	1878	1704.41	10.0718	132
FBgn0085380	3223	3049.41	0	0
FBgn0037493	813	639.637	0	0
FBgn0053701	315	141.924	0	0
FBgn0032189	1259	1085.41	11.7419	98
FBgn0033726	683	509.69	0	0
FBgn0037526	2097.76	1924.17	7.89821	116.86
FBgn0028902	2092.63	1919.04	0.271071	4
FBgn0050289	1164	990.41	0.131308	1
FBgn0038131	1100	926.41	0	0
FBgn0004910	1837	1663.46	0	0
FBgn0037715	1028.63	855.04	24.1834	159
FBgn0038151	1571	1397.41	0	0
FBgn0005391	1582.65	1409.06	0.369178	4
FBgn0265416	6903	6729.41	0.038853	2.01
FBgn0033115	1351.45	1177.86	15.4576	140
FBgn0029587	2630.03	2456.44	1.32841	25.092
FBgn0034300	5039.52	4865.93	14.9935	561
FBgn0265464	2788	2614.41	6.5661	132
FBgn0036112	761	587.658	0	0
FBgn0262730	8145.18	7971.59	28.1875	1727.81
FBgn0262512	659	485.696	96.6606	361
FBgn0015279	4403.2	4229.61	58.5735	1905
FBgn0039831	2857.64	2684.05	65.2456	1346.59
FBgn0261673	1877.69	1704.1	6.94471	91.001
FBgn0026570	1229.08	1055.49	50.0239	406
FBgn0031574	3470.8	3297.21	6.66572	168.999
FBgn0036761	1791.92	1618.33	52.1536	649
FBgn0085385	5875	5701.41	0.011579	0.508
FBgn0027296	1984.17	1810.58	10.7741	150
FBgn0033259	2863	2689.41	30.7544	636
FBgn0033616	1893	1719.41	9.75702	129
FBgn0030224	1034	860.41	0	0
FBgn0016685	917.097	743.685	349.917	2001
FBgn0003888	2516.76	2343.17	355.259	6400.91
FBgn0025381	2139.74	1966.15	359.652	5437.4
FBgn0052667	368	194.9	1.33452	2
FBgn0031771	1555.08	1381.49	114.938	1220.97
FBgn0042133	1168	994.41	4.5773	35
FBgn0028546	1069.15	895.562	86.8386	598
FBgn0037620	1159	985.41	2.50752	19
FBgn0086710	477.181	303.986	2912.56	6808.02
FBgn0036028	1427	1253.41	10.4794	101
FBgn0000046	1667.14	1493.55	2.28153	26.202
FBgn0034568	3382.28	3208.69	0.283711	7
FBgn0035464	2240	2066.41	53.8092	855
FBgn0032331	1716	1542.41	0.168631	2
FBgn0261380	1356	1182.41	21.7773	198
FBgn0039196	1506	1332.41	0	0
FBgn0051683	1870.67	1697.08	3.45952	45.145
FBgn0011754	2845.35	2671.76	25.3329	520.446
FBgn0003250	1349	1175.41	0.110641	1
FBgn0028872	1850.33	1676.74	0	0
FBgn0003975	3463	3289.41	0.27675	7
FBgn0040751	379	205.895	27.16	43
FBgn0039958	2052.5	1878.91	32.413	468.294
FBgn0034201	1441.5	1268.12	0	0
FBgn0032390	844.71	671.327	60.4404	312
FBgn0031144	1998.74	1825.15	38.8335	545
FBgn0037481	943	769.59	21.968	130
FBgn0033457	1055.75	882.164	25.2089	171
FBgn0037974	1199.12	1025.53	19.5124	153.868
FBgn0038033	1754	1580.41	0.09911	1.204
FBgn0029689	2699	2525.41	12.5651	244
FBgn0036784	2074	1900.41	0	0
FBgn0085458	750	576.664	0	0
FBgn0033787	1096.75	923.161	5.77582	41
FBgn0031955	5713.38	5539.79	0.070426	3
FBgn0054011	1090	916.41	0	0
FBgn0051092	4034.06	3860.47	7.19845	213.683
FBgn0003218	5102.66	4929.07	16.5692	627.999
FBgn0029687	2574.53	2400.94	77.3548	1428.11
FBgn0033460	4649.04	4475.45	52.7989	1817
FBgn0039664	1359.23	1185.64	9.64763	87.956
FBgn0037802	1114	940.41	6.91449	50
FBgn0014002	2080.21	1906.62	908.766	13323.2
FBgn0051454	1736	1562.41	0.499417	6
FBgn0046886	1227	1053.41	0	0
FBgn0261060	329	155.919	0	0
FBgn0039349	1860.53	1686.94	20.198	262
FBgn0036230	922.5	749.091	0	0
FBgn0085599	1023	849.41	8.22304	53.708
FBgn0030292	477	303.805	67.6347	158
FBgn0039132	1012.5	839.003	62.0017	399.999
FBgn0032790	1215	1041.41	14.4858	116
FBgn0029996	2543.53	2369.94	37.4271	682.049
FBgn0264830	262	88.963	0	0
FBgn0083972	706	532.684	2.68553	11
FBgn0052221	1606	1432.41	11.712	129
FBgn0061209	595	421.748	0.100455	0.326
