Name	Length	EffectiveLength	TPM	NumReads
FBgn0053929	423	241.741	0	0
FBgn0267873	257	75.864	0	0
FBgn0267896	719	537.586	0.000253	0.001
FBgn0260225	1197	1015.28	0.029859	0.268
FBgn0040928	1085	903.283	3.63518	29
FBgn0262789	532	350.653	0.645808	2
FBgn0058461	391	209.781	0.643143	1.192
FBgn0042701	620	438.63	0.301755	1.169
FBgn0263493	352	170.799	0.000212	0
FBgn0265917	359	177.797	0	0
FBgn0262163	610	428.636	0.264157	1
FBgn0085831	237	55.955	0	0
FBgn0267108	321	139.813	0.000537	0.001
FBgn0051032	770	588.565	13.4665	70
FBgn0266102	391	209.781	2.28399	4.232
FBgn0053867	526	344.657	0.016127	0.049
FBgn0267026	323	141.812	0.000128	0
FBgn0267519	2689	2507.28	1852.95	41031.3
FBgn0058005	1227	1045.28	0.10035	0.926
FBgn0039979	803	621.55	7.7755	42.683
FBgn0053318	523	341.66	0.331404	1
FBgn0053805	440	258.721	0.00396	0.009
FBgn0267419	780	598.561	0	0
FBgn0267892	760	578.567	0.00026	0.001
FBgn0267902	582	400.644	0	0
FBgn0262964	777	595.562	0.190119	1
FBgn0085790	1041	859.283	0.486037	3.689
FBgn0267879	601	419.641	0	0
FBgn0085291	1130	948.283	0.081189	0.68
FBgn0263093	1194.61	1012.89	29.7625	266.244
FBgn0267952	1290	1108.28	0	0
FBgn0030117	636	454.61	0.067862	0.272
FBgn0058182	291	109.831	0	0
FBgn0052518	75	26.079	0	0
FBgn0027934	1345	1163.28	0	0
FBgn0085340	423	241.741	0	0
FBgn0263744	845	663.532	0	0
FBgn0263210	221	41.353	0	0
FBtr0346869	123	49.887	2.678	1.18
FBgn0267427	697	515.594	0	0
FBgn0263975	1131	949.283	2.50481	21
FBgn0267869	420	238.744	0.000321	0.001
FBgn0037560	964.076	782.525	46.1577	319
FBgn0263212	220	40.538	0	0
FBgn0085732	1474.53	1292.81	80.6197	920.502
FBgn0267593	610	428.636	0	0
FBgn0058100	394	212.779	5.17148	9.718
FBgn0264888	465	283.702	0	0
FBgn0037143	1446	1264.28	0.089559	1
FBgn0262510	501	319.674	1.7173	4.848
FBgn0263771	276	94.846	0	0
FBgn0053315	421	239.743	0	0
FBgn0050029	480	298.702	0	0
FBgn0085791	1041	859.283	0.036009	0.273
FBgn0085804	252	70.871	0	0
FBgn0267876	766	584.566	0.00026	0.001
FBgn0267494	656	474.6	0	0
FBgn0085792	1211	1029.28	1.42804	12.981
FBgn0053013	2636	2454.28	0	0
FBgn0266211	1668	1486.28	1.75218	23
FBgn0265141	1303	1121.28	0	0
FBgn0051292	440.63	259.352	0.018725	0.043
FBgn0053294	1989.74	1808.03	2.69287	43
FBgn0000280	166	13.243	0	0
FBgn0262885	102	39.701	0	0
FBgn0011812	456	274.708	0	0
FBgn0265533	384.5	203.272	0	0
FBgn0052496	778	596.562	1.73514	9.142
FBgn0052009	2998.19	2816.47	0.817093	20.325
FBtr0347033	1076	894.283	0	0
FBgn0262688	493	311.678	0	0
FBgn0053222	541.068	359.719	3.1808	10.106
FBgn0266940	581	399.644	0	0
FBgn0262565	802	620.55	0.182463	1
FBgn0263002	361	179.796	0	0
FBgn0084049	531	349.654	15.9577	49.278
FBgn0263211	352	170.799	0.000929	0.001
FBgn0267872	775	593.562	0.000261	0.001
FBgn0262031	330	148.807	39.8905	52.426
FBgn0267014	274	92.848	7.5027	6.152
FBgn0039987	184	16.563	0	0
FBgn0261640	810	628.545	0.619293	3.438
FBgn0052761	71	24.123	0	0
FBgn0267863	274	92.848	0	0
FBgn0052034	74	25.567	0	0
FBgn0262795	735	553.579	0	0
FBgn0261856	450	268.711	0.007018	0.017
FBgn0051485	73	25.058	0	0
FBgn0267610	864	682.502	0	0
FBgn0262851	1188	1006.28	9.18295	81.611
FBgn0053416	143	54.704	0	0
FBgn0267520	357	175.798	1.60322	2.489
FBgn0085765	30	10.866	0	0
FBgn0267424	659	477.6	0	0
FBgn0030116	1305	1123.28	0	0
FBgn0031135	363	181.796	0	0
FBgn0263213	224	43.868	0	0
FBgn0267878	266	84.856	0	0
FBgn0058441	177	13.58	0	0
FBgn0267864	485	303.686	0.00015	0
FBgn0085500	687	505.598	0	0
FBgn0085784	479	297.692	0.003543	0.009
FBgn0262848	1188	1006.28	9.24254	82.141
FBgn0063924	307	125.819	1.52399	1.693
FBgn0262616	554	372.649	0	0
FBgn0267891	718	536.587	0.00051	0.002
FBgn0053491	369	187.794	0.002314	0.004
FBgn0050374	600	418.642	1.62278	6
FBtr0347034	740	558.572	0	0
FBgn0267898	414	232.751	0.000301	0.001
FBgn0260469	919.053	737.533	0.556844	3.627
FBgn0267874	253	71.869	0	0
