Name	Length	EffectiveLength	TPM	NumReads
FBgn0053929	423	245.812	0	0
FBgn0267873	257	79.945	0	0
FBgn0267896	719	541.613	0.000307	0.001
FBgn0260225	1197	1019.23	0	0
FBgn0040928	1085	907.234	4.26187	26
FBgn0262789	532	354.713	0.838491	2
FBgn0058461	391	213.855	0.000916	0.001
FBgn0042701	620	442.671	0.006935	0.021
FBgn0263493	352	174.878	0.000768	0.001
FBgn0265917	359	181.876	0	0
FBgn0262163	610	432.678	0.687403	2
FBgn0085831	237	60.169	0	0
FBgn0267108	321	143.895	0.000931	0.001
FBgn0051032	770	592.595	13.0494	52
FBgn0266102	391	213.855	0.004181	0.006
FBgn0053867	526	348.719	0.986341	2.313
FBgn0267026	323	145.894	0	0
FBgn0267519	2689	2511.23	3551.69	59975.7
FBgn0058005	1227	1049.23	0.172778	1.219
FBgn0039979	803	625.571	7.01813	29.522
FBgn0053318	523	345.721	0	0
FBgn0053805	440	262.794	0.006369	0.011
FBgn0267419	780	602.59	0	0
FBgn0267892	760	582.597	0	0
FBgn0267902	582	404.691	0	0
FBgn0262964	777	599.591	0.496045	2
FBgn0085790	1041	863.234	0.332396	1.929
FBgn0267879	601	423.681	0	0
FBgn0085291	1130	952.234	0.144173	0.923
FBgn0263093	1195.89	1018.13	24.8843	170.365
FBgn0267952	1290	1112.23	0	0
FBgn0030117	636	458.652	0.089002	0.274
FBgn0058182	291	113.913	0	0
FBgn0052518	75	26.577	5.59542	1
FBgn0027934	1345	1167.23	0	0
FBgn0085340	423	245.812	0	0
FBgn0263744	845	667.543	0	0
FBgn0263210	221	45.64	0	0
FBtr0346869	123	58.576	3.09674	1.22
FBgn0267427	697	519.619	0	0
FBgn0263975	1131	953.234	3.58818	23
FBgn0267869	420	242.816	0.000221	0
FBgn0037560	956.775	779.267	47.8998	251
FBgn0263212	220	44.814	0	0
FBgn0085732	1478.88	1301.11	71.7815	628.029
FBgn0267593	610	432.678	0	0
FBgn0058100	394	216.85	7.59047	11.068
FBgn0264888	465	287.769	1.03355	2
FBgn0037143	1446	1268.23	0.234518	2
FBgn0262510	501	323.738	5.01621	10.92
FBgn0263771	276	98.926	0	0
FBgn0053315	421	243.814	0.60994	1
FBgn0050029	480	302.768	0	0
FBgn0085791	1041	863.234	0.03763	0.218
FBgn0085804	252	74.957	0	0
FBgn0267876	766	588.596	0	0
FBgn0267494	656	478.635	0	0
FBgn0085792	1211	1033.23	1.78449	12.398
FBgn0053013	2636	2458.23	0	0
FBgn0266211	1668	1490.23	1.29728	13
FBgn0265141	1303	1125.23	0	0
FBgn0051292	451.919	274.703	2.77707	5.13
FBgn0053294	1947.99	1770.22	2.85626	34
FBgn0000280	166	25.831	5.75711	1
FBgn0262885	102	43.788	0	0
FBgn0011812	456	278.779	0	0
FBgn0265533	403.316	226.146	0.000516	0.001
FBgn0052496	778	600.591	1.04966	4.239
FBgn0052009	3001.05	2823.29	1.30559	24.787
FBtr0347033	1076	898.234	0	0
FBgn0262688	493	315.744	0.47099	1
FBgn0053222	548.608	371.315	1.53797	3.84
FBgn0266940	581	403.691	0	0
FBgn0262565	802	624.571	0	0
FBgn0263002	361	183.874	0.80877	1
FBgn0084049	531	353.714	15.7648	37.497
FBgn0263211	352	174.878	0.000739	0.001
FBgn0267872	775	597.592	0	0
FBgn0262031	330	152.891	30.5094	31.367
FBgn0267014	274	96.928	6.1768	4.026
FBgn0039987	184	23.684	0	0
FBgn0261640	810	632.566	1.40834	5.991
FBgn0052761	71	24.209	0	0
FBgn0267863	274	96.928	0	0
FBgn0052034	74	25.979	0	0
FBgn0262795	735	557.607	0	0
FBgn0261856	450	272.784	1.09033	2
FBgn0051485	73	25.385	0	0
FBgn0267610	864	686.527	0	0
FBgn0262851	1188	1010.23	12.5558	85.294
FBgn0053416	143	62.527	6.85378	2.882
FBgn0267520	357	179.876	4.23654	5.124
FBgn0085765	30	5.57	0	0
FBgn0267424	659	481.633	0	0
FBgn0030116	1305	1127.23	0.131927	1
FBgn0031135	363	185.873	0	0
FBgn0263213	224	48.19	0	0
FBgn0267878	266	88.934	0	0
FBgn0058441	177	22.598	0	0
FBgn0267864	485	307.749	0	0
FBgn0085500	687	509.625	0	0
FBgn0085784	479	301.757	0.002346	0.005
FBgn0262848	1188	1010.23	5.73386	38.951
FBgn0063924	307	129.902	0.000438	0
FBgn0262616	554	376.705	0	0
FBgn0267891	718	540.613	0.000307	0.001
FBgn0053491	369	191.87	0.002909	0.004
FBgn0050374	600	422.682	0	0
FBtr0347034	740	562.604	0	0
FBgn0267898	414	236.825	0.000207	0
FBgn0260469	924.133	746.644	1.08978	5.472
FBgn0267874	253	75.954	0	0
FBgn0030243	4727.41	4549.64	50.641	1549.29
FBgn0032269	1867	1689.23	0	0
FBgn0266369	2930	2752.23	18.2092	337
FBgn0032596	774.161	596.753	133.572	536
FBgn0033770	715	537.614	0.276615	1
FBgn0259237	2786	2608.23	0	0
FBgn0013685	525	347.72	1.28303	3
FBgn0031021	768	590.596	83.3459	331
FBgn0033491	3329	3151.23	7.57781	160.575
FBgn0051141	961	783.486	0	0
FBgn0284082	778	600.591	0	0
