Name	Length	EffectiveLength	TPM	NumReads
FBtr0075502	509	327.668	0.000000	0.000
FBtr0300738	2350	2168.283	0.160082	3.066
FBtr0300739	2172	1990.283	0.267015	4.694
FBtr0300737	2184	2002.283	0.248316	4.391
FBtr0300736	2338	2156.283	0.168749	3.214
FBtr0078628	2467	2285.283	0.146455	2.956
FBtr0300740	2479	2297.283	0.139733	2.835
FBtr0078627	2301	2119.283	0.215728	4.038
FBtr0300741	2313	2131.283	0.203120	3.823
FBtr0072762	889	707.487	71.318594	445.625
FBtr0346821	1270	1088.283	4.047030	38.898
FBtr0331460	900	718.483	2.477682	15.722
FBtr0303848	5005	4823.283	8.304247	353.746
FBtr0086122	1465	1283.283	0.617628	7.000
FBtr0335147	3125	2943.283	2.213649	57.543
FBtr0081459	3019	2837.283	18.904781	473.721
FBtr0305321	6523	6341.283	1.273137	71.302
FBtr0083716	5665	5483.283	18.020837	872.698
FBtr0078184	1305	1123.283	0.604803	6.000
FBtr0081691	765	583.566	0.000000	0.000
FBtr0085263	1228	1046.283	0.000000	0.000
FBtr0086342	492	310.679	0.000000	0.000
FBtr0086343	495	313.677	0.000000	0.000
FBtr0091847	1023	841.283	1.424358	10.583
FBtr0072393	1393	1211.283	13.585606	145.336
FBtr0343502	867	685.500	0.770387	4.664
FBtr0343753	3569	3387.283	4.054424	121.291
FBtr0433525	3725	3543.283	0.164683	5.153
FBtr0113895	961	779.449	24.708743	170.093
FBtr0345179	887	705.487	46.528702	289.907
FBtr0334135	4703	4521.283	0.280133	11.186
FBtr0334137	4561	4379.283	0.444937	17.209
FBtr0334141	5321	5139.283	0.200367	9.094
FBtr0334139	4203	4021.283	0.500820	17.787
FBtr0334140	5704	5522.283	0.165389	8.066
FBtr0344148	4894	4712.283	0.263092	10.949
FBtr0334142	5071	4889.283	0.216234	9.337
FBtr0334138	5563	5381.283	0.176714	8.399
FBtr0334136	3862	3680.283	1.014435	32.973
FBtr0085105	995	813.416	9.465592	68.000
FBtr0346720	2745	2563.283	0.000000	0.000
FBtr0076089	442	260.720	0.000000	0.000
FBtr0087500	1417	1235.283	11.457641	125.000
FBtr0073094	1694	1512.283	6.595380	88.089
FBtr0073093	1577	1395.283	76.679678	944.911
FBtr0343515	1092	910.283	0.180708	1.453
FBtr0072451	975	793.431	10.210222	71.547
FBtr0071607	2252	2070.283	3.336197	61.000
FBtr0081516	4704	4522.283	0.150226	6.000
FBtr0300749	931	749.478	1.878035	12.431
FBtr0346532	1185	1003.283	0.502843	4.456
FBtr0073076	880	698.489	62.266069	384.113
FBtr0089289	4677	4495.283	0.849578	33.729
FBtr0100448	4590	4408.283	1.164644	45.343
FBtr0089290	4681	4499.283	1.098162	43.637
FBtr0089288	4037	3855.283	9.789926	333.337
FBtr0100447	4417	4235.283	1.509953	56.480
FBtr0329933	4663	4481.283	1.152512	45.614
FBtr0336949	2826	2644.283	22.559946	526.859
FBtr0088786	1378	1196.283	82.011436	866.476
FBtr0088785	1869	1687.283	11.648215	173.578
FBtr0303077	607	425.639	0.000000	0.000
FBtr0339716	615	433.634	0.057915	0.222
FBtr0085459	600	418.642	82.701944	305.778
FBtr0070973	1218	1036.283	1.201893	11.000
FBtr0089252	2767	2585.283	2.363774	53.971
FBtr0334488	2840	2658.283	2.150015	50.477
FBtr0334489	2902	2720.283	0.814796	19.575
FBtr0100600	3804	3622.283	3.274268	104.748
FBtr0300305	309	127.818	0.000000	0.000
FBtr0077162	567	385.647	0.000000	0.000
FBtr0072277	713	531.588	55.592576	261.000
FBtr0344898	1082	900.283	0.000000	0.000
FBtr0086817	1175	993.283	0.000000	0.000
FBtr0333271	5146	4964.283	0.642321	28.162
FBtr0072639	5149	4967.283	0.588977	25.838
FBtr0340000	824	642.538	1.158297	6.573
FBtr0087390	427	245.735	101.105260	219.427
FBtr0070472	3021	2839.283	2.842696	71.283
FBtr0331752	4499	4317.283	14.963268	570.539
FBtr0070475	3174	2992.283	7.303287	193.005
FBtr0070474	3218	3036.283	0.538101	14.430
FBtr0302185	2166	1984.283	1.752230	30.707
FBtr0070471	4805	4623.283	10.095303	412.210
FBtr0112828	2903	2721.283	4.755330	114.289
FBtr0301966	3182	3000.283	0.948937	25.145
FBtr0070468	3055	2873.283	9.318199	236.461
FBtr0070476	2745	2563.283	0.381917	8.646
FBtr0070470	3110	2928.283	1.440701	37.259
FBtr0331751	4750	4568.283	1.311945	52.932
FBtr0070469	4244	4062.283	12.931870	463.959
FBtr0070467	2929	2747.283	0.486382	11.801
FBtr0331753	5004	4822.283	1.105525	47.084
FBtr0070466	2847	2665.283	1.575843	37.094
FBtr0070473	3091	2909.283	1.640688	42.156
FBtr0076265	1575	1393.283	56.073981	690.000
FBtr0331935	1030	848.283	0.148373	1.112
FBtr0088237	816	634.542	101.869146	570.888
FBtr0081705	1363	1181.283	0.000000	0.000
FBtr0088524	1299	1117.283	86.140501	850.000
FBtr0074540	843	661.533	24.304604	142.000
FBtr0074494	1357	1175.283	0.385362	4.000
FBtr0085714	3349	3167.283	116.256707	3252.021
FBtr0085713	3440	3258.283	852.953704	24544.979
FBtr0076256	334	152.805	2.963968	4.000
FBtr0339552	1718	1536.283	10.158957	137.838
FBtr0078950	1533	1351.283	27.748910	331.162
FBtr0070990	1321	1139.283	1.300882	13.089
FBtr0100409	805	623.548	0.413760	2.279
FBtr0343330	706	524.591	108.706143	503.644
FBtr0304902	1617	1435.283	0.424904	5.386
FBtr0304901	2286	2104.283	0.248263	4.614
FBtr0078872	1228	1046.283	0.108219	1.000
FBtr0077839	2112	1930.283	9.062614	154.498
FBtr0077837	2331	2149.283	2.733556	51.888
FBtr0077838	2235	2053.283	3.399763	61.652
FBtr0077836	2325	2143.283	25.408714	480.962
FBtr0075133	4018	3836.283	0.405451	13.737
FBtr0332862	2190	2008.283	3.679532	65.263
FBtr0087988	1754	1572.283	172.506837	2395.441
FBtr0087987	1948	1766.283	474.599530	7403.481
FBtr0074688	1633	1451.283	52.584703	674.000
FBtr0086864	3503	3321.283	13.602496	399.000
FBtr0083361	1283	1101.283	0.000000	0.000
FBtr0392904	4164	3982.283	9.136112	321.323
FBtr0084588	2385	2203.283	99.156930	1929.487
FBtr0303161	2639	2457.283	12.046482	261.435
FBtr0079257	1918	1736.283	16.237922	249.000
