Name	Length	EffectiveLength	TPM	NumReads
FBgn0053929	423	252.463	0	0
FBgn0267873	257	86.584	0	0
FBgn0267896	719	548.321	0.001091	0.005
FBgn0260225	1197	1026	0.057908	0.497
FBgn0040928	1085	913.996	2.74646	21
FBgn0262789	532	361.398	0	0
FBgn0058461	391	220.502	1.18566	2.187
FBgn0042701	620	449.372	1.69688	6.379
FBgn0263493	352	181.53	0.000279	0
FBgn0265917	359	188.528	0	0
FBgn0262163	610	439.379	0	0
FBgn0085831	237	66.598	0	0
FBgn0267108	321	150.543	4.3171	5.437
FBgn0051032	770	599.294	8.77628	44
FBgn0266102	391	220.502	0.005054	0.009
FBgn0053867	526	355.404	0.819739	2.437
FBgn0267026	323	152.542	0	0
FBgn0267519	2689	2518	2112.09	44490.7
FBgn0058005	1227	1056	0.536573	4.74
FBgn0039979	803	632.281	6.99127	36.98
FBgn0053318	523	352.407	0.678396	2
FBgn0053805	440	269.451	0.006564	0.015
FBgn0267419	780	609.292	0	0
FBgn0267892	760	589.3	0.000275	0.001
FBgn0267902	582	411.382	0.000228	0.001
FBgn0262964	777	606.294	0.197158	1
FBgn0085790	1041	869.996	0.151337	1.101
FBgn0267879	601	430.38	0.000236	0.001
FBgn0085291	1130	958.996	0.102314	0.821
FBgn0263093	1190.95	1019.94	16.9378	144.522
FBgn0267952	1290	1119	0.106824	1
FBgn0030117	636	465.354	0.046053	0.179
FBgn0058182	291	120.559	1.02277	1.032
FBgn0052518	75	25.643	0	0
FBgn0027934	1345	1174	0	0
FBgn0085340	423	252.463	0	0
FBgn0263744	845	674.247	0.177288	1
FBgn0263210	221	50.633	3.60112	1.525
FBtr0346869	123	47.566	25.0033	9.949
FBgn0267427	697	526.33	0	0
FBgn0263975	1131	959.996	2.49034	20
FBgn0267869	420	249.465	0.000494	0.001
FBgn0037560	962.891	792.076	49.1981	326
FBgn0263212	220	49.639	0	0
FBgn0085732	1466.78	1295.78	57.1749	619.78
FBgn0267593	610	439.379	0	0
FBgn0058100	394	223.498	4.30302	8.045
FBgn0264888	465	294.439	0.405977	1
FBgn0037143	1446	1275	0	0
FBgn0262510	501	330.421	2.67688	7.399
FBgn0263771	276	105.571	0	0
FBgn0053315	421	250.464	0	0
FBgn0050029	480	309.433	0	0
FBgn0085791	1041	869.996	0.133182	0.969
FBgn0085804	252	81.587	0	0
FBgn0267876	766	595.297	0.000276	0.001
FBgn0267494	656	485.341	0	0
FBgn0085792	1211	1040	1.92182	16.72
FBgn0053013	2636	2465	0	0
FBgn0266211	1668	1497	0.958205	12
FBgn0265141	1303	1132	0	0
FBgn0051292	441.493	270.949	0.020031	0.046
FBgn0053294	1972.67	1801.67	2.32215	35
FBgn0000280	166	11.921	0	0
FBgn0262885	102	38.806	0	0
FBgn0011812	456	285.444	0	0
FBgn0265533	402.055	231.536	0.00042	0.001
FBgn0052496	778	607.294	2.00608	10.192
FBgn0052009	2998.75	2827.75	0.510158	12.068
FBtr0347033	1076	904.996	0	0
FBgn0262688	493	322.427	0.370738	1
FBgn0053222	541.117	370.51	2.16958	6.724
FBgn0266940	581	410.383	0	0
FBgn0262565	802	631.281	0	0
FBgn0263002	361	190.526	0	0
FBgn0084049	531	360.398	15.3932	46.41
FBgn0263211	352	181.53	1.47486	2.24
FBgn0267872	775	604.294	0.000552	0.003
FBgn0262031	330	159.539	31.0629	41.458
FBgn0267014	274	103.573	4.66534	4.042
FBgn0039987	184	20.053	0	0
FBgn0261640	810	639.277	0.56392	3.016
FBgn0052761	71	24.038	0	0
FBgn0267863	274	103.573	0	0
FBgn0052034	74	25.202	0	0
FBgn0262795	735	564.311	0	0
FBgn0261856	450	279.447	0.427759	1
FBgn0051485	73	24.778	0	0
FBgn0267610	864	693.226	0	0
FBgn0262851	1188	1017	5.79198	49.277
FBgn0053416	143	39.106	0	0
FBgn0267520	357	186.529	2.83103	4.418
FBgn0085765	30	10.756	0	0
FBgn0267424	659	488.339	0	0
FBgn0030116	1305	1134	0	0
FBgn0031135	363	192.525	0.620883	1
FBgn0263213	224	53.621	0	0
FBgn0267878	266	95.579	0	0
FBgn0058441	177	16.274	0	0
FBgn0267864	485	314.432	0	0
FBgn0085500	687	516.332	0.000264	0.001
FBgn0085784	479	308.434	0.001874	0.005
FBgn0262848	1188	1017	16.0806	136.811
FBgn0063924	307	136.549	0.000565	0.001
FBgn0262616	554	383.39	0.311786	1
FBgn0267891	718	547.321	0.000814	0.004
FBgn0053491	369	198.524	10.0122	16.628
FBgn0050374	600	429.38	0.278391	1
