Name	Length	EffectiveLength	TPM	NumReads
FBtr0075502	509	331.731	0.000000	0.000
FBtr0300738	2350	2172.234	0.182632	2.668
FBtr0300739	2172	1994.234	0.305556	4.098
FBtr0300737	2184	2006.234	0.215817	2.912
FBtr0300736	2338	2160.234	0.245773	3.570
FBtr0078628	2467	2289.234	0.256977	3.956
FBtr0300740	2479	2301.234	0.193508	2.994
FBtr0078627	2301	2123.234	0.317271	4.530
FBtr0300741	2313	2135.234	0.227953	3.273
FBtr0072762	889	711.517	61.066105	292.173
FBtr0346821	1270	1092.234	4.216023	30.965
FBtr0331460	900	722.515	2.117713	10.289
FBtr0303848	5005	4827.234	7.687542	249.540
FBtr0086122	1465	1287.234	0.462114	4.000
FBtr0335147	3125	2947.234	2.863053	56.741
FBtr0081459	3019	2841.234	21.775871	416.041
FBtr0305321	6523	6345.234	1.220952	52.095
FBtr0083716	5665	5487.234	21.190758	781.905
FBtr0078184	1305	1127.234	0.131927	1.000
FBtr0081691	765	587.596	0.000000	0.000
FBtr0085263	1228	1050.234	0.000000	0.000
FBtr0086342	492	314.745	0.000000	0.000
FBtr0086343	495	317.741	0.000000	0.000
FBtr0091847	1023	845.234	1.962207	11.153
FBtr0072393	1393	1215.234	81.767490	668.181
FBtr0343502	867	689.526	0.591995	2.745
FBtr0343753	3569	3391.234	3.167583	72.234
FBtr0433525	3725	3547.234	0.250211	5.968
FBtr0113895	961	783.486	14.495792	76.371
FBtr0345179	887	709.517	66.364274	316.629
FBtr0334135	4703	4525.234	0.327753	9.973
FBtr0334137	4561	4383.234	0.991089	29.212
FBtr0334141	5321	5143.234	0.225565	7.801
FBtr0334139	4203	4025.234	0.523867	14.180
FBtr0334140	5704	5526.234	0.202914	7.540
FBtr0344148	4894	4716.234	0.287259	9.110
FBtr0334142	5071	4893.234	0.257911	8.486
FBtr0334138	5563	5385.234	0.201281	7.289
FBtr0334136	3862	3684.234	1.154608	28.605
FBtr0085105	995	817.448	3.274602	18.000
FBtr0346720	2745	2567.234	0.000000	0.000
FBtr0076089	442	264.792	0.000000	0.000
FBtr0087500	1417	1239.234	12.360331	103.000
FBtr0073094	1694	1516.234	12.957449	132.111
FBtr0073093	1577	1399.234	82.356002	774.889
FBtr0343515	1092	914.234	0.889446	5.468
FBtr0072451	975	797.462	11.847554	63.532
FBtr0071607	2252	2074.234	2.724408	38.000
FBtr0081516	4704	4526.234	0.197134	6.000
FBtr0300749	931	753.509	2.660355	13.480
FBtr0346532	1185	1007.234	0.180005	1.219
FBtr0073076	880	702.520	75.211522	355.301
FBtr0089289	4677	4499.234	1.164600	35.235
FBtr0100448	4590	4412.234	2.708137	80.349
FBtr0089290	4681	4503.234	1.735624	52.557
FBtr0089288	4037	3859.234	12.977215	336.772
FBtr0100447	4417	4239.234	2.117141	60.352
FBtr0329933	4663	4485.234	1.838553	55.452
FBtr0336949	2826	2648.234	21.410996	381.283
FBtr0088786	1378	1200.234	80.392961	648.840
FBtr0088785	1869	1691.234	14.325500	162.917
FBtr0303077	607	429.679	0.000000	0.000
FBtr0339716	615	437.675	0.084243	0.248
FBtr0085459	600	422.682	66.408630	188.752
FBtr0070973	1218	1040.234	0.285920	2.000
FBtr0089252	2767	2589.234	3.018279	52.551
FBtr0334488	2840	2662.234	1.505633	26.954
FBtr0334489	2902	2724.234	1.927976	35.318
FBtr0100600	3804	3626.234	2.959964	72.177
FBtr0300305	309	131.901	0.000000	0.000
FBtr0077162	567	389.697	0.000000	0.000
FBtr0072277	713	535.615	56.640031	204.000
FBtr0344898	1082	904.234	0.000000	0.000
FBtr0086817	1175	997.234	0.000000	0.000
FBtr0333271	5146	4968.234	0.536233	17.915
FBtr0072639	5149	4971.234	0.554790	18.546
FBtr0340000	824	646.558	1.521687	6.616
FBtr0087390	427	249.806	286.573334	481.384
FBtr0070472	3021	2843.234	2.959757	56.588
FBtr0331752	4499	4321.234	26.897507	781.580
FBtr0070475	3174	2996.234	6.897894	138.978
FBtr0070474	3218	3040.234	1.067721	21.828
FBtr0302185	2166	1988.234	1.428879	19.104
FBtr0070471	4805	4627.234	11.847784	368.648
FBtr0112828	2903	2725.234	7.748591	141.997
FBtr0301966	3182	3004.234	1.233585	24.920
FBtr0070468	3055	2877.234	10.083943	195.101
FBtr0070476	2745	2567.234	0.706306	12.193
FBtr0070470	3110	2932.234	1.667292	32.875
FBtr0331751	4750	4572.234	0.855855	26.314
FBtr0070469	4244	4066.234	16.778639	458.778
FBtr0070467	2929	2751.234	0.453725	8.394
FBtr0331753	5004	4826.234	1.300869	42.218
FBtr0070466	2847	2669.234	2.602878	46.719
FBtr0070473	3091	2913.234	2.065935	40.471
FBtr0076265	1575	1397.234	55.557976	521.999
FBtr0331935	1030	852.234	0.197000	1.129
FBtr0088237	816	638.559	89.165731	382.871
FBtr0081705	1363	1185.234	0.000000	0.000
FBtr0088524	1299	1121.234	74.406828	561.000
FBtr0074540	843	665.545	23.454382	104.968
FBtr0074494	1357	1179.234	0.378327	3.000
FBtr0085714	3349	3171.234	130.921915	2791.865
FBtr0085713	3440	3262.234	1157.656808	25395.029
FBtr0076256	334	156.887	1.895785	2.000
FBtr0339552	1718	1540.234	11.724698	121.435
FBtr0078950	1533	1355.234	30.567449	278.565
FBtr0070990	1321	1143.234	1.189784	9.147
FBtr0100409	805	627.569	0.748674	3.159
FBtr0343330	706	528.617	97.532936	346.694
FBtr0304902	1617	1439.234	0.171588	1.661
FBtr0304901	2286	2108.234	0.023939	0.339
FBtr0078872	1228	1050.234	0.000000	0.000
FBtr0077839	2112	1934.234	8.346201	108.555
FBtr0077837	2331	2153.234	2.779531	40.245
FBtr0077838	2235	2057.234	9.300343	128.658
FBtr0077836	2325	2147.234	16.590028	239.541
FBtr0075133	4018	3840.234	0.458001	11.827
FBtr0332862	2190	2012.234	7.181464	97.173
FBtr0087988	1754	1576.234	162.620400	1723.652
FBtr0087987	1948	1770.234	349.410505	4159.302
FBtr0074688	1633	1455.234	49.971482	489.000
FBtr0086864	3503	3325.234	13.058908	292.000
FBtr0083361	1283	1105.234	0.000000	0.000
FBtr0392904	4164	3986.234	6.251995	167.585
FBtr0084588	2385	2207.234	67.850372	1007.058
FBtr0303161	2639	2461.234	39.790687	658.549
FBtr0079257	1918	1740.234	19.056513	223.000
FBtr0307341	906	728.515	0.046382	0.227
FBtr0084989	527	349.718	0.037427	0.088
FBtr0306309	750	572.602	0.779138	3.000
FBtr0344570	539	361.711	0.000000	0.000
FBtr0078090	1219	1041.234	37.133954	260.000
FBtr0087439	546	368.709	20.973278	52.000
FBtr0070960	2096	1918.234	0.200132	2.581
FBtr0302357	2296	2118.234	0.159857	2.277
FBtr0302356	2428	2250.234	0.141527	2.142
FBtr0340571	3830	3652.234	0.040714	1.000
FBtr0340572	3825	3647.234	0.040779	1.000
FBtr0080267	3305	3127.234	0.000000	0.000
FBtr0077141	787	609.586	0.000000	0.000
FBtr0306593	981	803.459	0.000000	0.000
FBtr0081719	1938	1760.234	66.996019	793.000
FBtr0071549	1655	1477.234	32.012827	318.000
FBtr0308832	1068	890.234	9.325906	55.828
FBtr0308833	2043	1865.234	31.006674	388.904
FBtr0074921	2263	2085.234	8.149256	114.269
FBtr0073011	1996	1818.234	0.163579	2.000
FBtr0112378	450	272.784	0.000000	0.000
FBtr0342602	1596	1418.234	0.266527	2.542
FBtr0080326	1217	1039.234	84.922539	593.458
FBtr0085405	675	497.626	188.868876	632.000
FBtr0339295	331	153.890	0.000000	0.000
FBtr0300316	205	33.836	0.000000	0.000
FBtr0300904	2130	1952.234	0.000000	0.000
FBtr0081633	2196	2018.234	0.000000	0.000
FBtr0300905	2052	1874.234	0.000000	0.000
FBtr0335279	1234	1056.234	0.666487	4.734
FBtr0335281	1199	1021.234	0.208305	1.430
FBtr0290216	733	555.608	0.013651	0.051
FBtr0335280	740	562.604	0.013684	0.052
FBtr0077120	1711	1533.234	20.095563	207.187
FBtr0081676	887	709.517	0.000000	0.000
FBtr0076639	2093	1915.234	0.155294	2.000
FBtr0079280	1148	970.234	0.000000	0.000
FBtr0304827	5797	5619.234	0.075671	2.859
FBtr0433494	6405	6227.234	0.103869	4.349
FBtr0333832	6581	6403.234	0.084938	3.657
FBtr0433497	5654	5476.234	0.094400	3.476
